               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.040421,            0.026675,           0.0068796,             0.70246,             0.32784,             0.33931,             0.16217,            0.041905,             0.02456,           0.0081619,            0.001316,            0.001316,            0.001316
                  90,            0.040617,            0.026824,           0.0070193,             0.74375,             0.30777,             0.33949,             0.16183,            0.041824,            0.024641,           0.0083709,            0.001266,            0.001266,            0.001266
                  91,            0.040612,            0.026842,           0.0067554,             0.72076,             0.32207,             0.34145,             0.16085,            0.042006,            0.024579,           0.0082131,           0.0012202,           0.0012202,           0.0012202
                  92,            0.039863,             0.02676,           0.0067656,             0.73636,             0.30869,             0.33962,             0.16376,            0.041614,            0.024542,           0.0081526,           0.0011787,           0.0011787,           0.0011787
                  93,            0.040202,            0.027169,           0.0065012,             0.71856,             0.31858,             0.34179,             0.16466,            0.041563,            0.024568,           0.0081334,           0.0011414,           0.0011414,           0.0011414
                  94,            0.040316,             0.02648,           0.0066797,             0.76346,             0.30066,             0.34175,             0.16426,            0.041698,            0.024651,           0.0081849,           0.0011084,           0.0011084,           0.0011084
                  95,            0.040024,            0.026806,           0.0063669,             0.65783,             0.34276,             0.34062,              0.1604,            0.041729,            0.024698,           0.0083051,           0.0010797,           0.0010797,           0.0010797
                  96,            0.039945,            0.026613,           0.0067904,             0.67764,             0.33488,             0.34073,             0.16627,            0.041759,            0.024502,           0.0079886,           0.0010554,           0.0010554,           0.0010554
                  97,            0.039998,            0.026841,           0.0064331,             0.70984,             0.32031,              0.3408,             0.16547,            0.041602,            0.024556,           0.0080219,           0.0010355,           0.0010355,           0.0010355
                  98,            0.040088,            0.027002,           0.0065756,              0.6993,             0.31832,             0.33966,             0.16517,            0.041685,            0.024467,           0.0079924,             0.00102,             0.00102,             0.00102
                  99,            0.040131,            0.026324,           0.0066152,             0.68197,             0.32884,             0.34328,              0.1655,            0.041823,            0.024547,            0.008271,           0.0010089,           0.0010089,           0.0010089
